19770bb7-0bb3-4790-abc8-ccb2fa65b206, 901,919,655,Yossi
b3323640-b137-44e9-a0de-4233b3600df2, 235,888,964,Yossi
a42dea6b-47d2-4c85-a653-88c7168c2492, 185,110,251,Yossi
29554111-c8d4-4a51-b35d-c93d3ced300b, 868,636,340,Yossi
89e569fd-900a-44a1-8b7a-a871cabe68a4, 440,843,538,Yossi
674a2915-8c93-4c9e-9822-b9bd7183e5ce, 750,867,136,Yossi
f6706549-2de3-460a-bc30-b17b05551fc8, 515,890,536,Yossi
547781a2-3d5c-4b1f-b81f-e1473c1fb3fc, 567,450,841,Yossi
94431098-4aba-4aea-979f-6501a656dae6, 102,179,986,Yossi
1036b0d7-c69d-43c0-a9ee-d61131a9e3bd, 893,754,711,Yossi
63b4831b-20d7-4c2c-8fab-d6128fe20e15, 607,830,612,Yossi
6aabe6db-d02e-4e75-be0b-f01b7d289962, 370,89,327,Yossi
e9e83c0b-f94a-425f-b2ad-e1e1c1420fbb, 33,877,34,Yossi
6ec5e79b-6088-47b7-8793-fad250f3fa86, 47,650,297,Yossi
c5d36421-1264-4f02-a2de-05e88aa388d2, 73,654,901,Yossi
c8c8b791-e957-463d-b925-b6c054ef3fa6, 903,224,757,Yossi
20dd28fa-7468-442a-b4e4-05fa3e9224a1, 552,446,411,Yossi
a388c7e0-956a-465b-8731-aa2f0ca42e0b, 802,719,784,Yossi
adf140bb-d9b9-47c6-af72-cffda1384718, 887,334,470,Yossi
18335e8f-cf14-4e52-b2ed-c8b926bda882, 813,134,709,Yossi
100b8ade-4239-411d-98f4-4be25181a8d7, 977,291,354,Yossi
8e0eed79-f668-49a3-b601-77c42c3558da, 538,261,805,Yossi
f586ef3e-99dd-4874-b2a3-85908959646e, 727,70,754,Yossi
25ca4f36-ee0c-47e5-88b8-565efc6ae083, 211,718,989,Yossi
452d30bf-e025-4fb3-88d2-94902deaad28, 102,468,241,Yossi
7a968bf1-689e-4297-835e-933a0dca6499, 240,495,795,Yossi
0b00ec9f-78a6-4f0f-869d-6322104fc67e, 938,197,954,Yossi
ec05bfa1-0384-44ab-b6a6-77c6683506a0, 229,341,309,Yossi
2f6c0b23-5fe5-470b-a3a7-82e636425a10, 301,804,111,Yossi
05af25be-5844-4e52-b40c-1ea801e82710, 826,482,754,Yossi
478d7ea6-ad97-4a1c-9eb7-867053506312, 856,218,744,Yossi
51b121ad-97dc-4500-9dd1-3a8731d186f6, 323,69,359,Yossi
4f4916ae-ce3b-459b-87d4-ba3538b0e35e, 942,534,393,Yossi
ff2eac20-d05a-4f06-9ed7-92901fe3089d, 96,177,154,Yossi
2f7ba6a1-31c4-48b1-ad62-284340f9c2d8, 4,341,726,Yossi
9ae7b1c6-49e1-4dee-9cb4-ccdf91e1ca76, 420,700,251,Yossi
d0562177-6893-41d3-8395-3f3fe656c73e, 544,648,838,Yossi
a5312253-1f47-49ba-9ee1-5d309eec2113, 674,874,935,Yossi
41e91440-f15f-418b-950a-d1d92f66b62e, 754,749,949,Yossi
eaad45f9-05c8-4f29-b79c-215c4369b2db, 46,237,455,Yossi
0d4104c6-1741-45dc-b5e3-4687ec6c84a6, 694,900,587,Yossi
24f5df4f-587d-441c-98ee-59f26494d328, 1,354,500,Yossi
bc6b3415-d41b-429c-bb6a-6e297e1369c5, 246,777,400,Yossi
5acaaa2e-eaac-426e-980a-f6819ff7a562, 880,296,959,Yossi
da8d3b21-e9e6-4316-b718-62e71fffb98b, 402,842,21,Yossi
a1ea1b6b-bc52-43fa-8bd5-fe764b93cd96, 801,226,1,Yossi
